AVERAGE_FREE_FLOW_SPEED,AVERAGE_TIME_DIFF,AVERAGE_FREE_FLOW_TIME,LUMINOSITY,AVERAGE_TEMPERATURE,AVERAGE_ATMOSP_PRESSURE,AVERAGE_HUMIDITY,AVERAGE_WIND_SPEED,AVERAGE_CLOUDINESS,RAIN_INTENSITY,record_date_year,record_date_month,record_date_day,record_date_hour,day_of_week,AVERAGE_SPEED_DIFF,DEW_POINT,TEMP_MINUS_DP,DEW_POINT_BIN,hora_de_ponta,tipo_hora_de_ponta,is_holiday,is_event_day,supermarket_peak_level,periodo_aulas,fim_de_semana,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos,congestion_ratio
41.5,11.5,71.4,2,15.0,1019.0,100.0,3.0,0,0,2019,8,29,7,3,2,15.0,0.0,3,1,1,0,0,0,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0.1610644257680523
41.7,48.3,87.4,2,21.0,1021.0,53.0,5.0,1,0,2018,8,10,14,4,3,11.0,10.0,3,0,0,0,0,1,0,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,-0.8660254037844385,-0.5000000000000004,0.5526315789410453
38.6,38.4,85.2,2,26.0,1014.0,61.0,4.0,0,0,2019,9,1,16,6,3,17.9,8.1,4,0,0,0,1,1,0,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.4507042253468227
37.4,61.0,94.1,2,18.0,1025.0,48.0,4.0,1,0,2019,2,26,11,1,3,6.8,11.2,2,0,0,0,1,0,1,0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001,0.6482465462205288
41.6,50.4,77.0,2,15.0,1008.0,82.0,10.0,0,0,2019,6,6,12,3,2,11.9,3.1,3,0,0,0,1,1,1,0,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,0.6545454545369539
52.4,5.6,68.5,1,13.0,1014.0,72.0,4.0,2,0,2018,11,15,7,3,2,8.1,4.9,2,1,1,0,0,0,1,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.08175182481632479
45.7,4.0,79.8,0,16.0,1020.0,58.0,0.0,1,0,2018,10,3,21,2,0,7.7,8.3,2,0,0,0,1,0,1,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.05012531328257988
40.9,11.8,87.8,2,19.0,1014.0,64.0,5.0,1,0,2018,8,25,19,5,1,12.0,7.0,3,1,2,0,1,2,0,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-0.8660254037844385,-0.5000000000000004,0.13439635535154446
36.4,10.6,72.6,2,21.0,1019.0,82.0,5.0,2,0,2019,6,30,12,6,1,17.8,3.2,4,0,0,0,0,1,0,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,0.14600550963986217
34.8,10.1,84.4,2,19.0,1018.0,55.0,3.0,1,0,2019,4,20,9,5,1,9.8,9.2,2,1,2,0,1,0,0,1,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998,0.11966824644407974
